Name Country Purpose Altitude Period Mass Year Lifetime
"COSMO-Skymed 3" "Italy" "Earth Observation" 623 97.2 1700 2008 5
"COSMO-Skymed 4" "Italy" "Earth Observation" 623 97.2 1700 2010 5
"Cryosat-2" "ESA" "Earth Observation" 724 99.2 720 2010 3
"CXBN-2" "NR (10/17)" "Space Science" 406 92.6 2 2017 0.5
"Daichi-2" "NR" "Earth Observation" 635 97.36 2120 2014 7
"DAMPE" "NR" "Space Science" 505 94.54 1850 2015 3
"Deimos 1" "Spain" "Earth Observation" 662 98 90 2009 5
"Deimos 2" "NR" "Earth Observation" 619 96.85 310 2014 10
"Dellingr" "NR (3/18)" "Technology Development" 404 92.6 12 2017 1
"DirecTV-10" "USA" "Communications" 35788 1436.1 5900 2007 15
"DirecTV-12" "USA" "Communications" 35786 1436.04 5900 2009 15
"DirecTV-14" "USA" "Communications" 35933 1443.51 5900 2014 15
"DirecTV-15" "NR" "Communications" 35809 1434.07 5500 2015 15
"DirecTV-1R" "USA" "Communications" 35795 1436.1 3420 1999 15
"DirecTV-4S" "USA" "Communications" 35792 1436.09 4300 2001 15
"DirecTV-5" "USA" "Communications" 35799 1436.08 4300 2002 15
"DirecTV-7S" "USA" "Communications" 35797 1436.1 5483 2004 15
"DirecTV-8" "USA" "Communications" 35796 1436.1 3800 2005 12
"DirecTV-9S" "USA" "Communications" 35798 1436.1 5500 2006 15
"Diwata-2B" "NR (11/18)" "Earth Observation" 616 96.8 56 2018 1
"DLR Tubsat" "NR" "Earth Science" 732 99.2 45 1999 1
"DMC 3-1" "United Kingdom" "Earth Observation" 663 97.71 447 2015 10
"DMC 3-2" "United Kingdom" "Earth Observation" 663 97.71 447 2015 10
"DMC 3-3" "United Kingdom" "Earth Observation" 661 97.69 447 2015 10
"USA 131" "USA" "Earth Observation" 855 101.9 1134 1997 5
"USA 147" "USA" "Earth Observation" 851 101.8 1152 1999 5
"USA 172" "USA" "Earth Observation" 852 101.87 1154 2003 5
"USA 173" "USA" "Earth Observation" 855 101.89 1154 2006 5
"USA 210" "USA" "Earth Observation" 859 101.94 1155 2009 5
"Data Relay Test Satellite (DRTS)" "Japan" "Technology Development" 35799 1436.12 2650 2002 7
"USA 167" "USA" "Communications" 35802 1436.12 1156 2003 10
"USA 170" "USA" "Communications" 35814 1436.1 1156 2003 10
"USA 135" "USA" "Communications" 35817 1436.1 1156 1997 10
"USA 148" "USA" "Communications" 35868 1436.13 1156 2000 10
"USA 153" "USA" "Communications" 35799 1436.12 1156 2000 10
"USA 113" "USA" "Communications" 35784 1436.1 1156 1995 10
"USA 130" "USA" "Earth Observation" 35800 1436.27 2380 1997 5
"USA 149" "USA" "Earth Observation" 35909 142.08 2380 2000 9
"USA 159" "USA" "Earth Observation" 35810 1436.14 2380 2001 9
"USA 176" "USA" "Earth Observation" 35832 1436.12 2380 2004 9
"DubaiSat-2" "United Arab Emirates" "Earth Observation" 603 96.56 300 2013 5
"Eagle-1" "USA" "Communications" 35795 1436.08 2845 1997 15
"EcAMSat" "NR (11/18)" "Space Science" 408 92.6 10 2017 1
"Echostar 10" "USA" "Communications" 35792 1436 4333 2006 15
"Echostar 11" "USA" "Communications" 35793 1436.1 5500 2008 15
"Echostar 12" "USA" "Communications" 35791 1436.11 4328 2003 18
"Echostar 14" "USA" "Communications" 35789 1436.11 6384 2010 15
"Echostar 15" "USA" "Communications" 35803 1436.57 5521 2010 15
"Echostar 16" "USA" "Communications" 35796 1436.06 6658 2012 15
"Echostar 17" "USA" "Communications" 35794 1436.13 6100 2012 15
"Echostar 18" "USA" "Communications" 35788 1436.3 6300 2016 15
"Echostar 19" "USA" "Communications" 35796 1436.3 6764 2016 15
"Echostar 21" "United Kingdom" "Communications" 35799 1436.1 6900 2017 15
"Echostar 23" "USA" "Communications" 35803 1436.1 5600 2017 15
"Echostar 7 " "USA" "Communications" 35789 1436.07 4027 2002 12
"Echostar 9/Galaxy 23" "USA" "Communications" 35797 1436.08 4000 2003 13
"Echostar G1" "USA" "Communications" 35799 1436.1 6600 2008 15
"Electro-L1" "Russia" "Earth Observation" 35750 1423.35 1766 2011 10
"Electro-L2" "Russia" "Earth Observation" 35815 1434.47 1800 2015 10
"Terra" "USA" "Earth Observation" 703 98.8 4854 1999 6
"Aura" "USA" "Earth Observation" 703 98.8 2967 2004 5
"Aqua" "USA" "Earth Observation" 704 98.8 2934 2002 6
"ERG" "Japan" "Space Science" 33200 580 350 2016 1
