Name,Mass,Radius,Orbit,Smass,Distance,Habitable,Method,Year,
Kepler-304 e,1.59,1.2,0.02,0.8,,0,Transit,2016,
Kepler-305 b,11.32,3.61,0.06,0.83,,0,Primary Transit,2013,
Kepler-305 c,6.1,3.3,0.08,0.83,,0,Primary Transit,2013,
Kepler-305 d,3.82,2.71,0.12,0.83,,0,Primary Transit,2014,
Kepler-306 b,3.69,1.52,0.05,0.82,,0,Primary Transit,2014,
Kepler-306 c,20.36,2.35,0.07,0.82,,0,Primary Transit,2014,
Kepler-306 d,25.16,2.46,0.12,0.82,,0,Primary Transit,2014,
Kepler-306 e,17.55,2.27,0.23,0.82,,0,Primary Transit,2014,
Kepler-307 b,7.44,2.43,0.09,0.78,,0,Primary Transit,2013,
Kepler-307 c,3.65,2.2,0.1,0.78,,0,Primary Transit,2013,
Kepler-308 b,12.97,2.12,0.09,1.04,,0,Primary Transit,2014,
Kepler-308 c,14.15,2.16,0.12,1.05,,0,Primary Transit,2014,
Kepler-309 b,3.99,1.56,0.06,0.78,,0,Primary Transit,2014,
Kepler-309 c,2.97,2.51,0.4,0.78,,0,Primary Transit,2014,
Kepler-310 b,1.54,1.19,0.11,0.85,,0,Primary Transit,2014,
Kepler-310 c,7.65,3.38,0.28,0.85,,0,Primary Transit,2014,
Kepler-310 d,25.16,2.46,0.39,0.85,,0,Primary Transit,2014,
Kepler-311 b,5.54,1.7,0.09,1.06,,0,Primary Transit,2014,
Kepler-311 c,2.97,1.43,0.14,1.06,,0,Primary Transit,2014,
Kepler-312 b,2.04,1.29,0.03,1.23,,0,Primary Transit,2014,
Kepler-312 c,6.12,3.15,0.15,1.23,,0,Primary Transit,2014,
Kepler-313 b,3.06,2.53,0.12,0.9,,0,Primary Transit,2014,
Kepler-313 c,3.19,2.56,0.21,0.9,,0,Primary Transit,2014,
Kepler-314 b,0.47,0.83,0.04,1.02,,0,Primary Transit,2014,
Kepler-314 c,4.74,2.9,0.06,1.02,,0,Primary Transit,2014,
Kepler-315 b,10.59,3.76,0.4,0.78,,0,Primary Transit,2014,
Kepler-315 c,14.16,4.14,0.79,0.78,,0,Primary Transit,2014,
Kepler-316 b,1.07,1.06,0.03,0.53,,0,Primary Transit,2014,
Kepler-316 c,1.4,1.15,0.06,0.53,,0,Primary Transit,2014,
Kepler-317 b,12.15,2.08,0.06,0.95,,0,Primary Transit,2014,
Kepler-317 c,5.68,1.71,0.08,0.95,,0,Primary Transit,2014,
Kepler-318 b,20.7,4.7,0.06,1.05,,0,Primary Transit,2014,
Kepler-318 c,9.85,3.67,0.1,1.05,,0,Primary Transit,2014,
Kepler-319 b,4.65,1.62,0.05,1.29,,0,Primary Transit,2014,
Kepler-319 c,3.47,2.63,0.07,1.29,,0,Primary Transit,2014,
Kepler-319 d,17.93,2.28,0.19,1.29,,0,Primary Transit,2014,
Kepler-320 b,1.35,1.14,0.09,1.17,,0,Primary Transit,2014,
Kepler-320 c,2.51,1.37,0.14,1.19,,0,Primary Transit,2014,
Kepler-321 b,6.4,1.77,0.06,1.01,,0,Primary Transit,2014,
Kepler-321 c,19.11,2.32,0.11,1.01,,0,Primary Transit,2014,
Kepler-322 b,0.89,1.01,0.03,0.91,,0,Primary Transit,2014,
Kepler-322 c,5.14,1.67,0.05,0.91,,0,Primary Transit,2014,
Kepler-323 b,2.97,1.43,0.03,1.09,,0,Primary Transit,2014,
Kepler-323 c,4.65,1.62,0.05,1.09,,0,Primary Transit,2014,
Kepler-324 b,1.35,1.14,0.05,0.86,,0,Primary Transit,2014,
Kepler-324 c,6.12,3.15,0.26,0.86,,0,Primary Transit,2014,
Kepler-325 b,4.8,2.91,0.05,0.87,,0,Primary Transit,2014,
Kepler-325 c,3.1,2.54,0.1,0.87,,0,Primary Transit,2014,
Kepler-325 d,4.18,2.79,0.22,0.87,,0,Primary Transit,2014,
Kepler-326 b,3.69,1.52,0.03,0.98,,0,Primary Transit,2014,
Kepler-326 c,2.73,1.4,0.05,0.98,,0,Primary Transit,2014,
Kepler-326 d,1.65,1.21,0.07,0.98,,0,Primary Transit,2014,
Kepler-327 b,1.23,1.11,0.03,0.55,,0,Primary Transit,2014,
Kepler-327 c,0.96,1.03,0.05,0.55,,0,Primary Transit,2014,
Kepler-327 d,5.82,1.72,0.09,0.55,,0,Primary Transit,2014,
Kepler-328 b,21.94,2.31,0.21,0.98,,0,Primary Transit,2013,
Kepler-328 c,31.79,5.41,0.33,0.98,,0,Primary Transit,2013,
Kepler-329 b,2.73,1.4,0.06,0.53,,0,Primary Transit,2014,
Kepler-329 c,8.88,1.93,0.11,0.53,,0,Primary Transit,2014,
Kepler-330 b,2.37,1.34,0.07,0.78,,0,Primary Transit,2014,
Kepler-330 c,9.29,1.95,0.12,0.78,,0,Primary Transit,2014,
Kepler-331 b,7.04,1.81,0.07,0.51,,0,Primary Transit,2014,
Kepler-331 c,7.38,1.84,0.1,0.51,,0,Primary Transit,2014,
Kepler-331 d,4.77,1.64,0.16,0.51,,0,Primary Transit,2014,
Kepler-332 b,1.45,1.16,0.07,0.8,,0,Primary Transit,2014,
Kepler-332 c,1.14,1.09,0.11,0.8,,0,Primary Transit,2014,
Kepler-332 d,1.49,1.18,0.19,0.8,,0,Primary Transit,2014,
Kepler-333 b,2.23,1.32,0.09,0.54,,0,Primary Transit,2014,
Kepler-333 c,1.23,1.11,0.14,0.54,,0,Primary Transit,2014,
Kepler-334 b,1.27,1.12,0.06,1,,0,Primary Transit,2014,
Kepler-334 c,2.97,1.43,0.11,1,,0,Primary Transit,2014,
Kepler-334 d,2.81,1.41,0.17,1,,0,Primary Transit,2014,
Kepler-335 b,7.65,3.38,0.07,0.99,,0,Primary Transit,2014,
Kepler-335 c,5.66,3.07,0.36,0.99,,0,Primary Transit,2014,
Kepler-336 b,0.92,1.02,0.03,0.89,,0,Primary Transit,2014,
Kepler-336 c,12.42,2.09,0.09,0.89,,0,Primary Transit,2014,
Kepler-336 d,20.8,2.36,0.15,0.89,,0,Primary Transit,2014,
Kepler-337 b,3.78,1.53,0.04,0.96,,0,Primary Transit,2014,
Kepler-337 c,11.37,2.05,0.09,0.96,,0,Primary Transit,2014,
Kepler-338 b,30.62,2.58,0.12,1.1,,0,Primary Transit,2014,
Kepler-338 c,25.7,2.48,0.17,1.1,,0,Primary Transit,2014,
Kepler-338 d,3.57,2.65,0.26,1.1,,0,Primary Transit,2014,
Kepler-338 e,8.58,1.59,0.09,1.1,,0,TTV,2014,
Kepler-339 b,2.89,1.42,0.06,0.84,,0,Primary Transit,2014,
Kepler-339 c,1.4,1.15,0.07,0.84,,0,Primary Transit,2014,
Kepler-339 d,1.45,1.16,0.09,0.84,,0,Primary Transit,2014,
Kepler-340 b,3.06,2.53,0.13,2.11,,0,Primary Transit,2014,
Kepler-340 c,7.57,3.37,0.18,2.11,,0,Primary Transit,2014,
Kepler-341 b,1.49,1.18,0.06,0.94,,0,Primary Transit,2014,
Kepler-341 c,5.54,1.7,0.08,0.94,,0,Primary Transit,2014,
Kepler-341 d,7.56,1.85,0.18,0.94,,0,Primary Transit,2014,
Kepler-341 e,10.17,1.99,0.24,0.94,,0,Primary Transit,2014,
Kepler-342 b,16.81,2.25,0.13,1.13,,0,Primary Transit,2014,
Kepler-342 c,9.51,1.96,0.18,1.13,,0,Primary Transit,2014,
Kepler-342 d,26.25,2.49,0.24,1.13,,0,Primary Transit,2014,
Kepler-342 e,0.58,0.88,0.03,1.13,,0,Transit,2016,
Kepler-343 b,22.64,2.41,0.09,1.04,,0,Primary Transit,2014,
Kepler-343 c,10.64,2.02,0.17,1.04,,0,Primary Transit,2014,
Kepler-344 b,3.38,2.61,0.15,0.9,,0,Primary Transit,2014,
Kepler-344 c,4.98,2.95,0.49,0.9,,0,Primary Transit,2014,
Kepler-345 b,0.32,0.74,0.07,0.59,,0,Primary Transit,2014,
Kepler-345 c,1.59,1.2,0.08,0.59,,0,Primary Transit,2014,
Kepler-346 b,3.57,2.65,0.07,0.97,,0,Primary Transit,2014,
Kepler-346 c,5.66,3.07,0.17,0.97,,0,Primary Transit,2014,
Kepler-347 b,9.72,1.97,0.11,1.04,,0,Primary Transit,2014,
Kepler-347 c,6.1,1.75,0.18,1.04,,0,Primary Transit,2014,
Kepler-348 b,3.69,1.52,0.08,1.15,,0,Primary Transit,2014,
Kepler-348 c,2.3,1.33,0.14,1.15,,0,Primary Transit,2014,
Kepler-349 b,8.48,1.9,0.07,0.97,,0,Primary Transit,2014,
Kepler-349 c,9.51,1.96,0.1,0.97,,0,Primary Transit,2014,
Kepler-350 b,7.56,1.85,0.1,1.03,,0,Primary Transit,2014,
Kepler-350 c,5.6,3.1,0.13,1.03,,0,Primary Transit,2013,
Kepler-350 d,15.26,2.8,0.17,1.03,,0,Primary Transit,2013,
Kepler-351 b,5.59,3.06,0.21,0.89,,0,Primary Transit,2014,
Kepler-351 c,6.39,3.19,0.29,0.89,,0,Primary Transit,2014,
Kepler-351 d,3.87,2.72,0.51,0.89,,0,Transit,2016,
Kepler-352 b,0.53,0.86,0.09,0.79,,0,Primary Transit,2014,
Kepler-352 c,1.81,1.24,0.12,0.79,,0,Primary Transit,2014,
Kepler-353 b,0.58,0.88,0.05,0.54,,0,Primary Transit,2014,
Kepler-353 c,2.58,1.38,0.07,0.54,,0,Primary Transit,2014,
Kepler-354 b,7.38,1.84,0.05,0.65,,0,Primary Transit,2014,
Kepler-354 c,2.17,1.31,0.12,0.65,,0,Primary Transit,2014,
Kepler-354 d,1.81,1.24,0.15,0.65,,0,Primary Transit,2014,
Kepler-355 b,3.14,1.46,0.1,1.05,,0,Primary Transit,2014,
Kepler-355 c,3.82,2.71,0.18,1.05,,0,Primary Transit,2014,
Kepler-356 b,4.09,1.57,0.06,0.97,,0,Primary Transit,2014,
Kepler-356 c,6.88,1.8,0.12,0.97,,0,Primary Transit,2014,
Kepler-357 b,7.38,1.84,0.06,0.78,,0,Primary Transit,2014,
Kepler-357 c,3.62,2.67,0.12,0.78,,0,Primary Transit,2014,
Kepler-357 d,7.97,3.43,0.25,0.78,,0,Primary Transit,2014,
Kepler-358 b,3.87,2.72,0.21,0.95,,0,Primary Transit,2014,
Kepler-358 c,4.45,2.84,0.38,0.95,,0,Primary Transit,2014,
Kepler-359 b,8.7,3.53,0.18,1.07,,0,Primary Transit,2014,
Kepler-359 c,15.83,4.3,0.31,1.07,,0,Primary Transit,2014,
Kepler-359 d,12.83,4.01,0.37,1.07,,0,Primary Transit,2014,
Kepler-360 b,4.89,1.65,0.04,0.95,,0,Primary Transit,2014,
Kepler-360 c,12.42,2.09,0.07,0.95,,0,Primary Transit,2014,
Kepler-361 b,3.05,1.44,0.09,1.07,,0,Primary Transit,2014,
Kepler-361 c,3.02,2.52,0.3,1.07,,0,Primary Transit,2014,
Kepler-362 b,0.58,0.88,0.09,0.77,,0,Primary Transit,2014,
Kepler-362 c,3.05,1.44,0.21,0.77,,0,Primary Transit,2014,
Kepler-363 b,1.4,1.15,0.05,1.23,,0,Primary Transit,2014,
Kepler-363 c,5.4,1.69,0.08,1.23,,0,Primary Transit,2014,
Kepler-363 d,11.37,2.05,0.11,1.23,,0,Primary Transit,2014,
Kepler-364 b,3.88,1.55,0.18,1.2,,0,Primary Transit,2014,
Kepler-364 c,13.85,2.15,0.31,1.2,,0,Primary Transit,2014,
Kepler-365 b,11.12,2.04,0.1,0.99,,0,Primary Transit,2014,
Kepler-365 c,4.77,1.64,0.14,0.99,,0,Primary Transit,2014,
Kepler-366 b,3.14,1.46,0.04,1.05,,0,Primary Transit,2014,
Kepler-366 c,6.72,1.79,0.11,1.05,,0,Primary Transit,2014,
Kepler-367 b,2.1,1.3,0.2,0.75,,0,Primary Transit,2014,
Kepler-367 c,1.59,1.2,0.25,0.75,,0,Primary Transit,2014,
Kepler-368 b,6.82,3.26,0.19,0.71,,0,Primary Transit,2014,
Kepler-368 c,11.57,3.88,0.36,0.71,,0,Primary Transit,2014,
Kepler-369 b,1.31,1.13,0.03,0.54,,0,Primary Transit,2014,
Kepler-369 c,2.81,1.41,0.09,0.54,,0,Primary Transit,2014,
Kepler-370 b,4.31,1.59,0.05,0.94,,0,Primary Transit,2014,
Kepler-370 c,8.48,1.9,0.14,0.94,,0,Primary Transit,2014,
Kepler-371 b,8.29,1.89,0.2,0.94,,0,Primary Transit,2014,
Kepler-371 c,6.56,1.78,0.31,0.94,,0,Primary Transit,2014,
Kepler-372 b,2.44,1.36,0.07,1.15,,0,Primary Transit,2014,
Kepler-372 c,12.15,2.08,0.15,1.15,,0,Primary Transit,2014,
Kepler-372 d,5.4,1.69,0.2,1.15,,0,Primary Transit,2014,
Kepler-373 b,2.44,1.36,0.06,0.87,,0,Primary Transit,2014,
Kepler-373 c,1.81,1.24,0.13,0.87,,0,Primary Transit,2014,
Kepler-374 b,0.96,1.03,0.03,0.84,,0,Primary Transit,2014,
Kepler-374 c,1.18,1.1,0.04,0.84,,0,Primary Transit,2014,
Kepler-374 d,2.17,1.31,0.06,0.84,,0,Primary Transit,2014,
Kepler-375 b,3.05,1.44,0.1,0.89,,0,Primary Transit,2014,
Kepler-375 c,3.52,2.64,0.14,0.89,,0,Primary Transit,2014,
Kepler-376 b,1.07,1.06,0.06,1.05,,0,Primary Transit,2014,
Kepler-376 c,6.72,1.79,0.12,1.05,,0,Primary Transit,2014,
Kepler-377 b,2.65,1.39,0.11,0.88,,0,Primary Transit,2014,
Kepler-377 c,11.62,2.06,0.18,0.88,,0,Primary Transit,2014,
Kepler-378 b,0.34,0.75,0.11,0.96,,0,Primary Transit,2014,
Kepler-378 c,0.27,0.69,0.17,0.96,,0,Primary Transit,2014,
Kepler-379 b,5.02,1.66,0.15,1.08,,0,Primary Transit,2014,
Kepler-379 c,17.93,2.28,0.33,1.08,,0,Primary Transit,2014,
Kepler-380 b,1.54,1.19,0.05,1.05,,0,Primary Transit,2014,
Kepler-380 c,1.92,1.27,0.08,1.05,,0,Primary Transit,2014,
Kepler-381 b,0.83,0.99,0.07,1.34,,0,Primary Transit,2014,
Kepler-381 c,1.27,1.12,0.12,1.34,,0,Primary Transit,2014,
Kepler-382 b,2.23,1.32,0.06,0.8,,0,Primary Transit,2014,
Kepler-382 c,4.31,1.59,0.1,0.8,,0,Primary Transit,2014,
Kepler-383 b,2.23,1.32,0.1,0.67,,0,Primary Transit,2014,
Kepler-383 c,1.81,1.24,0.17,0.67,,0,Primary Transit,2014,
Kepler-384 b,1.27,1.12,0.15,0.76,,0,Primary Transit,2014,
Kepler-384 c,1.31,1.13,0.24,0.76,,0,Primary Transit,2014,
Kepler-385 b,3.92,2.73,0.1,1.09,,0,Primary Transit,2014,
Kepler-385 c,5.46,3.04,0.13,1.09,,0,Primary Transit,2014,
Kepler-386 b,2.65,1.39,0.1,0.74,,0,Primary Transit,2014,
Kepler-386 c,4.2,1.58,0.15,0.74,,0,Primary Transit,2014,
Kepler-387 b,0.96,1.03,0.07,1.03,,0,Primary Transit,2014,
Kepler-387 c,0.58,0.88,0.1,1.03,,0,Primary Transit,2014,
Kepler-388 b,0.43,0.81,0.04,0.59,,0,Primary Transit,2014,
Kepler-388 c,0.53,0.86,0.09,0.59,,0,Primary Transit,2014,
Kepler-389 b,3.59,1.51,0.04,0.78,,0,Primary Transit,2014,
Kepler-389 c,3.14,1.46,0.11,0.78,,0,Primary Transit,2014,
Kepler-390 b,0.45,0.82,0.07,0.67,,0,Primary Transit,2014,
Kepler-390 c,0.39,0.78,0.1,0.67,,0,Primary Transit,2014,
Kepler-391 b,6.39,3.19,0.08,1.22,,0,Primary Transit,2014,
Kepler-391 c,8.79,3.54,0.16,1.22,,0,Primary Transit,2014,
Kepler-392 b,0.86,1,0.06,1.13,,0,Primary Transit,2014,
Kepler-392 c,1.18,1.1,0.09,1.13,,0,Primary Transit,2014,
Kepler-393 b,2.04,1.29,0.09,1.32,,0,Primary Transit,2014,
Kepler-393 c,2.3,1.33,0.12,1.32,,0,Primary Transit,2014,
Kepler-394 b,4.42,1.6,0.08,1.11,,0,Primary Transit,2014,
Kepler-394 c,5.02,1.66,0.11,1.11,,0,Primary Transit,2014,
Kepler-395 b,0.96,1.03,0.06,0.53,,0,Primary Transit,2014,
Kepler-395 c,2.23,1.32,0.18,0.53,,0,Primary Transit,2014,
Kepler-396 b,69.95,3.47,0.37,0.81,,0,Primary Transit,2013,
Kepler-396 c,16.85,5.26,0.23,0.81,,0,Primary Transit,2013,
Kepler-397 b,24.64,2.45,0.14,0.81,,0,Primary Transit,2014,
Kepler-397 c,46.95,6.17,0.48,0.8,,0,Primary Transit,2014,
Kepler-398 b,0.68,0.93,0.04,0.68,,0,Primary Transit,2014,
Kepler-398 c,0.89,1.01,0.09,0.67,,0,Primary Transit,2014,
Kepler-398 d,0.58,0.88,,,,0,Transit,2016,
Kepler-399 b,0.77,0.96,0.1,0.7,,0,Primary Transit,2014,
Kepler-399 c,2.97,1.43,0.15,0.7,,0,Primary Transit,2014,
Kepler-399 d,8.29,1.89,0.26,0.7,,0,Primary Transit,2014,
Kepler-400 b,4.89,1.65,0.09,1.08,,0,Primary Transit,2014,
Kepler-400 c,3.4,1.49,0.13,1.07,,0,Primary Transit,2014,
Kepler-401 b,5.68,1.71,0.12,1.17,,0,Primary Transit,2014,
Kepler-401 c,13.85,2.15,0.27,1.16,,0,Primary Transit,2014,
Kepler-401 d,17.55,2.27,,,,0,Transit,2016,
Kepler-402 b,1.7,1.22,0.05,1.09,,0,Primary Transit,2014,
Kepler-402 c,3.99,1.56,0.07,1.12,,0,Primary Transit,2014,
Kepler-402 d,2.58,1.38,0.09,1.1,,0,Primary Transit,2014,
Kepler-402 e,3.14,1.46,0.1,1.12,,0,Primary Transit,2014,
Kepler-403 b,1.86,1.25,0.08,1.19,,0,Primary Transit,2014,
Kepler-403 c,6.1,1.75,0.3,1.19,,0,Primary Transit,2014,
Kepler-403 d,2.89,1.42,,,,0,Transit,2016,
Kepler-404 b,1.92,1.27,0.1,1.01,,0,Primary Transit,2014,
Kepler-404 c,5.68,1.71,0.12,1.01,,0,Primary Transit,2014,
Kepler-405 b,12.15,2.08,0.1,1.02,,0,Primary Transit,2014,
Kepler-405 c,20.11,4.66,0.19,1,,0,Primary Transit,2014,
Kepler-406 b,6.36,1.43,0.04,1.07,,0,Primary Transit,2014,
Kepler-406 c,2.71,0.85,0.06,1.07,,0,Primary Transit,2014,
Kepler-408 b,6.36,0.82,0.04,1.08,,0,Primary Transit,2013,
Kepler-409 b,22,1.19,0.32,0.92,66.8,0,Primary Transit,2013,
Kepler-410 A b,4.41,2.84,0.12,1.3,132,0,Primary Transit,2013,
Kepler-411 b,8.1,1.88,0.04,0.83,,0,Primary Transit,2013,
Kepler-411 c,6.9,3.27,0.07,0.83,,0,Transit,2016,
Kepler-412 b,298.55,14.84,0.03,1.17,1056,0,Primary Transit,2014,
Kepler-413(AB) b,67.02,4.34,0.35,1.36,,0,Primary Transit,2013,
Kepler-418 b,349.73,13.44,0.37,0.98,,0,Primary Transit,2014,
Kepler-419 b,861.62,12.43,0.21,1.22,,0,Primary Transit,2012,
Kepler-419 c,2352.76,11.66,1.65,1.22,,0,TTV,2014,
Kepler-420 A b,461.01,10.53,0.24,0.99,900,0,Primary Transit,2014,
Kepler-421 b,14.29,4.16,1.22,0.79,320,0,Primary Transit,2014,
Kepler-422 b,136.71,12.88,0.08,1.15,,0,Primary Transit,2014,
Kepler-423 b,189.17,13.35,0.04,1.07,,0,Primary Transit,2014,
Kepler-424 b,327.48,9.97,0.04,1.01,,0,Primary Transit,2014,
Kepler-424 c,2216.04,11.67,0.73,1.01,,0,Radial Velocity,2014,
Kepler-430 b,6.75,3.25,0.22,1.17,,0,Primary Transit,2015,
Kepler-430 c,6.75,3.25,0.48,1.17,,0,Primary Transit,2015,
Kepler-431 b,0.36,0.76,0.07,1.07,,0,Primary Transit,2015,
Kepler-431 c,0.23,0.67,0.08,1.07,,0,Primary Transit,2015,
Kepler-431 d,1.23,1.11,0.1,1.07,,0,Primary Transit,2015,
Kepler-432 b,1720.06,16.24,0.26,1.35,874,0,Primary Transit,2014,
Kepler-433 b,896.59,16.24,0.06,2.82,1870,0,Primary Transit,2012,
Kepler-434 b,909.31,12.66,0.11,1.2,1240,0,Primary Transit,2015,
Kepler-435 b,267.07,22.29,0.09,1.54,2070,0,Primary Transit,2012,
Kepler-436 b,3.91,2.73,0.33,0.73,618,0,transit,2015,
Kepler-436 c,19.52,2.33,0.12,0.73,618,0,Transit,2016,
Kepler-437 b,13.57,2.14,0.29,0.71,417,0,transit,2015,
Kepler-438 b,1.27,1.12,0.17,0.54,145,1,transit,2015,
Kepler-439 b,16.46,2.24,0.56,0.88,693,0,transit,2015,
Kepler-440 b,7.75,1.86,0.23,0.57,261,1,transit,2015,
Kepler-441 b,4.82,1.64,0.64,0.57,284,0,transit,2015,
Kepler-442 b,2.34,1.34,0.41,0.61,342,1,transit,2015,
Kepler-443 b,19.53,2.33,0.49,0.74,779,1,transit,2015,
Kepler-444 b,0.04,0.38,0.04,0.76,,0,Primary Transit,2015,
Kepler-444 c,0.09,0.49,0.05,0.76,,0,Primary Transit,2015,
Kepler-444 d,0.11,0.53,0.06,0.76,,0,Primary Transit,2015,
Kepler-444 e,0.12,0.53,0.07,0.76,,0,Primary Transit,2015,
Kepler-444 f,0.25,0.68,0.07,0.76,,0,Primary Transit,2015,
Kepler-445 b,6.36,1.58,0.02,0.18,90,0,Primary Transit,2015,
Kepler-445 c,8.58,2.51,0.03,0.18,90,0,Primary Transit,2015,
Kepler-445 d,3.5,1.25,0.04,0.18,90,0,Primary Transit,2015,
Kepler-446 b,4.45,1.5,0.02,0.22,120,0,Primary Transit,2015,
Kepler-446 c,2.86,1.1,0.02,0.22,120,0,Primary Transit,2015,
Kepler-446 d,3.18,1.34,0.04,0.22,120,0,Primary Transit,2015,
Kepler-447 b,435.58,18.48,0.08,1,,0,Primary Transit,2015,
Kepler-448 b,3179.4,16.02,0.15,1.45,426,0,Primary Transit,2015,
Kepler-449 b,11.47,2.05,0.1,0.97,,0,Primary Transit,2015,
Kepler-449 c,4.06,2.76,0.2,0.97,,0,Primary Transit,2015,
Kepler-450 b,46.17,6.14,0.2,1.35,,0,Primary Transit,2015,
Kepler-450 c,3.42,2.62,0.13,1.35,,0,Primary Transit,2015,
Kepler-450 d,0.48,0.84,0.08,1.35,,0,Primary Transit,2015,
Kepler-452 b,4.72,1.63,1.05,1.04,430,1,transit,2015,
Kepler-453(AB) b,16,6.16,0.74,0.93,,0,Primary Transit,2014,
Kepler-454 b,6.84,2.36,0.1,1.03,,0,Primary Transit,2015,
Kepler-454 c,1418.01,11.67,1.29,1.03,,0,Radial Velocity,2015,
Kepler-455 b,68.05,6.94,2.34,0.98,,0,Primary Transit,2015,
Kepler-456 b,57.79,6.6,2.34,0.98,,0,Primary Transit,2015,
Kepler-457 b,20.36,2.35,0.16,1.04,,0,Primary Transit,2015,
Kepler-457 c,20.36,2.35,0.35,1.04,,0,Primary Transit,2015,
Kepler-458 b,19.26,4.59,1.34,0.98,,0,Primary Transit,2015,
Kepler-458 c,14.75,4.2,0.15,0.98,,0,Primary Transit,2016,
Kepler-459 b,33.06,5.5,1.77,1.01,,0,Primary Transit,2015,
Kepler-460 b,52.15,6.38,1.16,1.07,,0,Primary Transit,2015,
Kepler-460 c,33.25,5.51,0.73,1.07,,0,Primary Transit,2016,
Kepler-461 b,3.24,2.58,0.08,0.98,468,0,Transit,2016,
Kepler-462 b,10.59,3.76,0.44,1.59,733,0,Transit,2016,
Kepler-462 c,22.2,4.82,0.74,1.97,,0,Primary Transit,2015,
Kepler-463 b,5.53,3.05,0.08,0.87,336,0,Transit,2016,
Kepler-464 b,7.04,3.29,0.08,1.21,653,0,Transit,2016,
Kepler-465 b,4.98,2.95,0.1,1.23,587,0,Transit,2016,
Kepler-466 b,4.45,2.84,0.27,1.04,436,0,Transit,2016,
Kepler-466 c,1.86,1.25,0.05,1.04,436,0,Transit,2016,
Kepler-467 b,16.81,2.25,0.17,1.05,458,0,Transit,2016,
Kepler-468 b,,13.33,0.22,0.96,474,0,Transit,2016,
Kepler-469 b,,17.89,0.21,1.14,714,0,Transit,2016,
Kepler-470 b,,14.43,0.19,1.4,989,0,Transit,2016,
Kepler-471 b,,14.95,0.07,1.49,1373,0,Transit,2016,
Kepler-472 b,6.54,3.21,0.05,0.85,302,0,Transit,2016,
Kepler-473 b,13.49,4.08,0.12,1.06,641,0,Transit,2016,
Kepler-474 b,5.59,3.06,0.06,0.99,568,0,Transit,2016,
Kepler-475 b,26.25,2.49,0.04,0.86,280,0,Transit,2016,
Kepler-476 b,5.72,3.08,0.11,1.03,687,0,Transit,2016,
Kepler-477 b,11.88,2.07,0.09,0.87,367,0,Transit,2016,
Kepler-478 b,3.82,2.71,0.1,0.85,420,0,Transit,2016,
Kepler-479 b,12.97,2.12,0.1,0.86,371,0,Transit,2016,
Kepler-480 b,4.13,2.78,0.06,1.25,806,0,Transit,2016,
Kepler-481 b,26.81,2.5,0.09,1.01,713,0,Transit,2016,
Kepler-482 b,20.8,2.36,0.26,0.75,290,0,Transit,2016,
Kepler-483 b,6.46,3.2,0.21,1.28,953,0,Transit,2016,
Kepler-484 b,17.55,2.27,0.09,0.96,377,0,Transit,2016,
Kepler-485 b,,14.4,0.04,1.07,1173,0,Transit,2016,
Kepler-486 b,502.57,10.99,0.18,0.79,428,0,Transit,2016,
Kepler-487 b,755.66,11.41,0.12,0.91,835,0,Transit,2016,
Kepler-487 c,3.67,2.68,0.22,0.91,835,0,Transit,2016,
Kepler-488 b,,15.78,0.04,1.07,1157,0,Transit,2016,
Kepler-489 b,96.56,7.72,0.12,0.82,379,0,Transit,2016,
Kepler-490 b,1160.45,11.64,0.04,1.08,1249,0,Transit,2016,
Kepler-491 b,164.34,8.92,0.05,1.04,657,0,Transit,2016,
Kepler-492 b,224.37,9.59,0.1,0.94,642,0,Transit,2016,
Kepler-493 b,,15.12,0.05,1.36,1942,0,Transit,2016,
Kepler-494 b,74.28,7.13,0.08,1.1,862,0,Transit,2016,
Kepler-495 b,28.42,5.23,0.04,0.86,630,0,Transit,2016,
Kepler-496 b,19.11,2.32,0.08,0.86,655,0,Transit,2016,
Kepler-497 b,43.88,6.04,0.05,1.09,1070,0,Transit,2016,
Kepler-498 b,5.4,3.02,0.09,0.98,746,0,Transit,2016,
Kepler-499 b,14.46,2.17,0.06,0.87,523,0,Transit,2016,
Kepler-500 b,3.24,2.58,0.08,1.02,747,0,Transit,2016,
Kepler-501 b,15.83,4.3,0.06,1.03,1044,0,Transit,2016,
Kepler-502 b,21.59,4.77,0.05,1.15,1433,0,Transit,2016,
Kepler-503 b,49.09,6.26,0.07,1.01,888,0,Transit,2016,
Kepler-504 b,4.31,1.59,0.06,0.33,75,0,Transit,2016,
Kepler-505 b,3.33,2.6,0.15,0.55,222,0,Transit,2016,
Kepler-506 b,3.92,2.73,0.08,1.19,231,0,Transit,2016,
Kepler-507 b,2.1,1.3,0.05,1.16,410,0,Transit,2016,
Kepler-508 b,4.77,1.64,0.18,1.16,325,0,Transit,2016,
Kepler-509 b,26.25,2.49,0.24,1.1,339,0,Transit,2016,
Kepler-510 b,25.16,2.46,0.14,0.91,378,0,Transit,2016,
Kepler-511 b,51.3,6.35,0.87,1,448,0,Transit,2016,
Kepler-512 b,3.72,2.69,0.22,1.17,531,0,Transit,2016,
Kepler-513 b,15.1,2.2,0.19,1.02,467,0,Transit,2016,
Kepler-514 b,5.68,1.71,0.07,1.28,489,0,Transit,2016,
Kepler-515 b,3.14,1.46,0.14,0.9,255,0,Transit,2016,
Kepler-516 b,37.51,5.73,0.2,1.62,777,0,Transit,2016,
